2021-05-01 09:40:43,968 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1dfd2f7a: startup date [Sat May 01 09:40:43 IST 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2021-05-01 09:40:45,102 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Mahesh\code\hsbc_case_study\hsbc_case_study\apache-activemq-5.16.2\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2021-05-01 09:40:45,890 | INFO  | PListStore:[C:\Mahesh\code\hsbc_case_study\hsbc_case_study\apache-activemq-5.16.2\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2021-05-01 09:40:46,081 | INFO  | Apache ActiveMQ 5.16.2 (localhost, ID:Mahesh-59162-1619842245902-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2021-05-01 09:40:46,100 | INFO  | Listening for connections at: tcp://Mahesh:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2021-05-01 09:40:46,102 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2021-05-01 09:40:46,106 | INFO  | Listening for connections at: amqp://Mahesh:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2021-05-01 09:40:46,108 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2021-05-01 09:40:46,114 | INFO  | Listening for connections at: stomp://Mahesh:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2021-05-01 09:40:46,116 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2021-05-01 09:40:46,122 | INFO  | Listening for connections at: mqtt://Mahesh:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2021-05-01 09:40:46,125 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2021-05-01 09:40:46,132 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2021-05-01 09:40:46,250 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2021-05-01 09:40:46,422 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@5e3d613e{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | WrapperSimpleAppMain
2021-05-01 09:40:46,548 | INFO  | Listening for connections at ws://Mahesh:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2021-05-01 09:40:46,549 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2021-05-01 09:40:46,552 | INFO  | Apache ActiveMQ 5.16.2 (localhost, ID:Mahesh-59162-1619842245902-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2021-05-01 09:40:46,553 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2021-05-01 09:40:47,591 | INFO  | ActiveMQ WebConsole available at http://127.0.0.1:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2021-05-01 09:40:47,592 | INFO  | ActiveMQ Jolokia REST API available at http://127.0.0.1:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2021-05-01 09:42:49,453 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@40d6e525: startup date [Sat May 01 09:42:49 IST 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2021-05-01 09:42:50,514 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Mahesh\code\hsbc_case_study\hsbc_case_study\apache-activemq-5.16.2\bin\win32\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2021-05-01 09:42:50,537 | INFO  | Database ..\..\data\kahadb\lock is locked by another server. This broker is now in slave mode waiting a lock to be acquired | org.apache.activemq.store.SharedFileLocker | WrapperSimpleAppMain
2021-05-01 09:45:25,384 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@71423665: startup date [Sat May 01 09:45:25 IST 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-05-01 09:45:26,954 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Mahesh\code\hsbc_case_study\hsbc_case_study\apache-activemq-5.16.2\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2021-05-01 09:45:27,267 | INFO  | Page File: C:\Mahesh\code\hsbc_case_study\hsbc_case_study\apache-activemq-5.16.2\bin\..\data\kahadb\db.data. Recovering pageFile free list due to prior unclean shutdown.. | org.apache.activemq.store.kahadb.disk.page.PageFile | KahaDB Index Free Page Recovery
2021-05-01 09:45:27,271 | INFO  | Page File: C:\Mahesh\code\hsbc_case_study\hsbc_case_study\apache-activemq-5.16.2\bin\..\data\kahadb\db.data. Recovered pageFile free list of size: 0 | org.apache.activemq.store.kahadb.disk.page.PageFile | KahaDB Index Free Page Recovery
